id,artist,name,genre,secondary_genres,tier
123,Rihanna,S&M,Dance,"Dance, Music, Electronic, Rock, R&B/Soul, Contemporary R&B",1
124,Katy Perry,Last Friday Night ,Pop,Pop,1
125,Enrique Iglesias,Tonight,Pop,"Latino, Music, Pop",1
126,P!nk,Raise Your Glass,Pop,"Pop, Music",1
127,Lady Gaga,Born This Way,Pop,"Pop, Music, Pop/Rock, Electronic, R&B/Soul, Rock, Dance",1
128,P!nk,F**kin' Perfect,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",1
129,Rihanna,What's My Name?,Pop,"Pop, Music",1
130,Jeremih,Down on Me,R & B,"R&B/Soul, Music, Pop",1
131,Lil Wayne,How to Love,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, Dirty South",1
132,Bruno Mars,The Lazy Song,Pop,Pop,1
133,Lupe Fiasco,The Show Goes On,Hip Hop,"Hip-Hop/Rap, Music",1
134,Lady Gaga,The Edge of Glory,Pop,Pop,1
135,Wiz Khalifa,Black and Yellow,Hip Hop,"Hip-Hop/Rap, Music, East Coast Rap, Rap, Hardcore Rap",1
136,Hot Chelle Rae,Tonight Tonight,Pop,"Pop, Music, Rock",1
137,Ke$ha,Blow,Pop,Pop,1
138,The Black Eyed Peas,Party All The Time,Dance,"Hip-Hop/Rap, Music, Rock, Rap, Electronic, Hip-Hop, Dance, Alternative Rap",1
139,Diddy,Coming Home,Hip Hop,"Hip-Hop/Rap, Music",1
140,Pitbull and T-Pain,Hey Baby,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Rap, Dance",1
141,Lil Wayne,6 Foot 7 Foot,Hip Hop,"Hip-Hop/Rap, Music",1
142,Lady Antebellum,Just a Kiss,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock",1
143,Jason Aldean,Dirt Road Anthem,Country,Country,1
144,Waka Flocka Flame,No Hands,Hip Hop,"Hip-Hop/Rap, Music, Rap",1
145,Dj Khaled,I'm On One,Hip Hop,"Hip-Hop/Rap, Music, Rap",1
146,Cobra Starship,You Make Me Feel€,Dance,"Alternative, Music, Rock, Adult Alternative, Dance",1
147,Chris Brown,Yeah 3x,R & B,"R&B/Soul, Music",1
148,Nicki Minaj,Moment 4 Life,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap",1
149,Dr. Dre,I Need a Doctor,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Rap",1
150,Edward Maya,Stereo Love,Dance,"Dance, Music, Hip-Hop/Rap, Rap, Electronic",1
151,Christina Perri,Jar of Hearts,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Rock",1
152,Wiz Khalifa,Roll Up,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap",1
153,Far East Movement,Rocketeer,Pop,Pop,1
154,Britney Spears ,Hold it Against Me,Pop,"Pop, Music, Pop/Rock, Dance, Rock, Teen Pop, Adult Contemporary",1
155,Usher,More,R & B,R&B/Soul,1
156,Avril Lavigne,What the Hell,Pop,"Pop, Music, Alternative, Rock",1
157,Tinie Tempah,Written in the Stars,Pop,Pop,1
158,Trey Songz,Bottoms Up,R & B,R&B/Soul,1
159,The Script,For the First Time,Pop,"Pop, Music, Rock",1
160,Blake Shelton,Honey Bee,Country,Country,1
161,Jason Aldean,Don't You Wanna Stay,Country,"Country, Music, Contemporary Country",1
162,Keri Hilson,Pretty Girl Rock,R & B,"R&B/Soul, Music, Contemporary R&B, Dance, Rock",1
163,Lady Gaga,You and I,Pop,"Pop, Music",1
164,Eli Young Band,Crazy Girl,Country,Country,1
165,Selena Gomez & the Scene,Who Says,Pop,"Pop, Music",1
166,Jake Owen,Barefoot Blue Jean Night,Country,"Country, Music, Karaoke",1
