id,Artist,name,genre,"secondary_genres",Tier
10168,Sara Bareilles,Love Song,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Rock, Adult Alternative",1
10169,Sarah McLachlan,Angel,Pop,"Pop, Music, Vocal, Adult Contemporary, Rock, Adult Alternative, Pop/Rock",1
10170,Sarah McLachlan,Fallen,Pop,"Pop, Music, Vocal, Adult Contemporary, Rock, Adult Alternative, Pop/Rock",1
10171,Sean Kingston,Beautiful Girls,R & B,"Hip-Hop/Rap, Music, Reggae, R&B/Soul, Contemporary R&B, Dirty South, Pop",1
10172,Sean Kingston,Fire Burning,Hip Hop,"Hip-Hop/Rap, Music, Reggae, R&B/Soul, Contemporary R&B, Dirty South, Pop",1
10173,Sean Paul,Get Busy,Dance,"Pop, Music, Hip-Hop/Rap, Rap, Rock, Reggae, Dancehall",1
10174,Sean Paul,Gimme The Light,Hip Hop,"Pop, Music, Hip-Hop/Rap, Rap, Rock, Reggae, Dancehall",1
10175,Secondhand Serenade,Fall For You,Pop,"Pop, Music",1
10176,Shaggy,Angel,Dance,"Reggae, Music, Dancehall, Dance, Electronic, Rock",1
10177,Shinedown,Second Chance,Rock,"Rock, Music, Metal, Alternative, Grunge, Hard Rock",1
10178,Snoop Dogg ,Beautiful,Hip Hop,"Hip-Hop/Rap, Music, Gangsta Rap, Dirty South, West Coast Rap",1
10179,Spice Girls,Wannabe,Pop,"Pop, Music, Dance, Adult Contemporary, Britpop, Teen Pop, Electronic",1
10180,Spose,I'm Awesome,Hip Hop,"Alternative, Music, Hip-Hop/Rap, Rap",1
10181,Stevie Wonder,For Once In My Life,Pop,"R&B/Soul, Music, Pop, Rock, Soul, Motown, Pop/Rock, Soft Rock",1
10182,SURVIVOR,EYE OF THE TIGER,Pop,"Rock, Music, Pop, Pop/Rock, Arena Rock",1
10183,System Of A Down,Aerials,Rock,"Rock, Music, Metal, Hard Rock",1
10184,Taio Cruz,Break Your Heart,Pop,"Pop, Music, Dance, R&B/Soul, Contemporary R&B, Rock",1
10185,Thalia,No Me Ensenaste,Pop,"Latino, Music",1
10186,The Fray,Over My Head,Pop,"Rock, Music, American Trad Rock, Adult Alternative",1
10187,The Fray,You Found Me,Pop,"Rock, Music, American Trad Rock, Adult Alternative",1
10188,The Goo Goo Dolls,Iris,Rock,"Rock, Music, Adult Alternative, Pop, Pop/Rock, Alternative, Hard Rock",1
10189,The Jackson 5,I Want You Back,Pop,"R&B/Soul, Music, Rock, Pop, Soft Rock, Soul, Motown",1
10190,The Kooks,Shine On,Rock,"Alternative, Music, Rock, Adult Alternative, Indie Rock",1
10191,The Monkees,I'm A Believer,Pop,"Pop, Music, Teen Pop, Rock, Psychedelic, Adult Contemporary, Soft Rock, Pop/Rock",1
10192,The Notorious B.I.G.,Hypnotize,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hip-Hop, Gangsta Rap, East Coast Rap",1
10193,The Pointer Sisters,I'm So Excited,Pop,"Pop, Music, Pop/Rock, Rock, R&B/Soul, Soul, Contemporary R&B, Dance, Quiet Storm",1
10194,The Police,Every Breath You Take,Pop,"Rock, Music, Alternative, New Wave, Adult Alternative, Arena Rock, College Rock, Pop, Adult Contemporary, Pop/Rock",1
10195,The Pretenders,I'll Stand By You,Pop,"Rock, Music, Arena Rock, Adult Alternative, Pop, Pop/Rock, Rock & Roll",1
10196,The Pussycat Dolls,When I Grow Up,Pop,"Pop, Music, Electronic, Dance, R&B/Soul",1
10197,The Ready Set,Love Like Woe,Pop,"Pop, Music, Rock",1
10198,The Rolling Stones,Miss You,Rock,"Rock, Music, Pop, Pop/Rock, Rock & Roll, Blues-Rock, Hard Rock, Arena Rock, British Invasion",1
10199,The Rolling Stones,Start Me Up,Rock,"Rock, Music, Pop, Pop/Rock, Rock & Roll, Blues-Rock, Hard Rock, Arena Rock, British Invasion",1
10200,The Supremes,Baby Love,Pop,"R&B/Soul, Music, Pop, Soft Rock, Motown, Soul, Rock",1
10201,The Temptations,My Girl,Pop,"R&B/Soul, Music, Soul, Motown, Funk, Rock, Pop, Soft Rock",1
10202,Three Days Grace,Animal I Have Become,Rock,"Rock, Music, Hard Rock, Alternative",1
10203,Three Days Grace,Home,Rock,"Rock, Music, Metal, Hard Rock",1
10204,Tim McGraw,I Need You,Country,"Country, Music, Rock, Contemporary Country, Southern Rock, Honky Tonk, Pop, Adult Contemporary, Urban Cowboy",1
10205,Tim McGraw,Red Ragtop,Country,"Country, Music, Rock, Contemporary Country, Pop, Adult Contemporary, Urban Cowboy, Honky Tonk",1
