id,Artist,name,genre,secondary_genres,tier
111,Ram Jam,Black Betty,Rock,"Rock, Music, Hard Rock, Blues-Rock, Arena Rock, Metal, Southern Rock",2
112,A$AP Rocky,Wild for the Night,Hip Hop,Hip-Hop/Rap,2
113,Maroon 5,Payphone,Pop,"Pop, Music",2
114,Kelly Clarkson,Stronger ,Pop,"Pop, Music, Pop/Rock, Adult Contemporary, Rock",2
115,Katy Perry,Firework,Pop,"Pop, Music, Rock, Teen Pop, Pop/Rock",2
116,Katy Perry,E.T,Pop,Pop,2
117,Bruno Mars,Grenade,Pop,"Pop, Music, Rock",2
118,Cee Lo Green,F**k you!,R & B,"R&B/Soul, Music, Hip-Hop/Rap, Rap, Contemporary R&B, Neo-Soul, Rock",2
119,Nicki Minaj,Super Bass,R & B,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap",2
120,Maroon 5,Moves like Jagger,Pop,"Pop, Music, Rock, Pop/Rock, Adult Alternative",2
121,The Black Eyed Peas,Just Can't Get Enough,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Hip-Hop/Rap, Rap, Dance, Rock, Electronic",2
122,Jennifer Lopez,On the Floor,Pop,"Pop, Music",2
123,Rihanna,S&M,Dance,"Dance, Music, Electronic, Rock, R&B/Soul, Contemporary R&B",2
124,Katy Perry,Last Friday Night ,Pop,Pop,2
125,Enrique Iglesias,Tonight,Pop,"Latino, Music, Pop",2
126,P!nk,Raise Your Glass,Pop,"Pop, Music",2
127,Lady Gaga,Born This Way,Pop,"Pop, Music, Pop/Rock, Electronic, R&B/Soul, Rock, Dance",2
128,P!nk,F**kin' Perfect,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",2
129,Rihanna,What's My Name?,Pop,"Pop, Music",2
130,Jeremih,Down on Me,R & B,"R&B/Soul, Music, Pop",2
131,Lil Wayne,How to Love,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, Dirty South",2
132,Bruno Mars,The Lazy Song,Pop,Pop,2
133,Lupe Fiasco,The Show Goes On,Hip Hop,"Hip-Hop/Rap, Music",2
134,Lady Gaga,The Edge of Glory,Pop,Pop,2
135,Wiz Khalifa,Black and Yellow,Hip Hop,"Hip-Hop/Rap, Music, East Coast Rap, Rap, Hardcore Rap",2
136,Hot Chelle Rae,Tonight Tonight,Pop,"Pop, Music, Rock",2
137,Ke$ha,Blow,Pop,Pop,2
138,The Black Eyed Peas,Party All The Time,Dance,"Hip-Hop/Rap, Music, Rock, Rap, Electronic, Hip-Hop, Dance, Alternative Rap",2
139,Diddy,Coming Home,Hip Hop,"Hip-Hop/Rap, Music",2
140,Pitbull and T-Pain,Hey Baby,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Rap, Dance",2
141,Lil Wayne,6 Foot 7 Foot,Hip Hop,"Hip-Hop/Rap, Music",2
142,Lady Antebellum,Just a Kiss,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock",2
143,Jason Aldean,Dirt Road Anthem,Country,Country,2
144,Waka Flocka Flame,No Hands,Hip Hop,"Hip-Hop/Rap, Music, Rap",2
145,Dj Khaled,I'm On One,Hip Hop,"Hip-Hop/Rap, Music, Rap",2
146,Cobra Starship,You Make Me FeelÄ,Dance,"Alternative, Music, Rock, Adult Alternative, Dance",2
147,Chris Brown,Yeah 3x,R & B,"R&B/Soul, Music",2
148,Nicki Minaj,Moment 4 Life,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap",2
149,Dr. Dre,I Need a Doctor,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Rap",2
150,Edward Maya,Stereo Love,Dance,"Dance, Music, Hip-Hop/Rap, Rap, Electronic",2
151,Christina Perri,Jar of Hearts,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Rock",2
152,Wiz Khalifa,Roll Up,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap",2
153,Far East Movement,Rocketeer,Pop,Pop,2
154,Britney Spears ,Hold it Against Me,Pop,"Pop, Music, Pop/Rock, Dance, Rock, Teen Pop, Adult Contemporary",2
155,Usher,More,R & B,R&B/Soul,2
156,Avril Lavigne,What the Hell,Pop,"Pop, Music, Alternative, Rock",2
157,Tinie Tempah,Written in the Stars,Pop,Pop,2
158,Trey Songz,Bottoms Up,R & B,R&B/Soul,2
